Mã khách hàng,Lãi suất khoản vay (%),Tỷ lệ khoản vay trên thu nhập,Tỷ lệ tổng nợ trên thu nhập,Thu nhập hàng năm (VND),Tình trạng sở hữu nhà,Từng vỡ nợ trong hồ sơ tín dụng (Có/Không),Số tiền vay đề nghị (VND),Mục đích khoản vay,"Trạng thái trả nợ (0 = không vỡ nợ, 1 = vỡ nợ)",predicted,prob_vỡ_nợ,correct
CUST_13412,15.33,0.0632911392405063,0.1162472093688318,2059728290.0,3,1,130362550.0,1,1,0,0.2429522276614671,0
CUST_19313,11.72,0.0446428571428571,0.2266769577662701,1460060560.0,2,1,65181274.99999999,3,1,0,0.2842003423217114,0
CUST_16974,13.23,0.036231884057971,0.1944689136758705,3598006380.0,2,0,130362550.0,0,1,0,0.0826003497553702,0
CUST_20012,7.49,0.05625,0.2332074716078653,1668640640.0,2,1,93861036.0,0,1,0,0.2745413666687816,0
CUST_21226,14.42,0.0526160710527423,0.3497554162495205,2477618480.28,2,0,130362550.0,1,1,0,0.1851505759544813,0
CUST_32334,10.65,0.0297619047619047,0.1935147474154462,876036336.0,2,1,26072510.0,3,1,0,0.3518865773909141,0
CUST_24268,13.79,0.0620155038759689,0.2912058681213533,1681676895.0,3,0,104290040.0,4,1,0,0.2814554367810829,0
CUST_31453,20.69,0.0434173669467787,0.2061487636783362,1861577214.0,3,0,80824781.0,5,1,0,0.233682020558548,0
CUST_19168,13.8,0.0571428571428571,0.122506238054616,1095045420.0,2,0,62574023.99999999,3,1,0,0.346730895943367,0
CUST_07358,12.69,0.0428770500589559,0.1157552877399665,1216152228.95,3,1,52145020.0,0,1,0,0.3145955212714394,0
CUST_21966,5.99,0.0567129629629629,0.2626162743037006,2815831080.0,2,1,159694123.75,0,1,0,0.1632701764409533,0
CUST_19678,14.96,0.062135922330097,0.3370963853404765,1342734265.0,2,0,83432032.0,2,1,0,0.3213338540553304,0
CUST_21942,14.22,0.045045045045045,0.1832953550398186,1157619444.0,3,0,52145020.0,5,1,0,0.325115735197592,0
CUST_20020,15.95,0.0580177276390008,0.1896287323140521,1617799245.5,2,1,93861036.0,5,1,0,0.2829864862656258,0
CUST_15894,7.66,0.0294117647058823,0.3218675619985274,6205257380.0,3,1,182507570.0,3,1,0,0.0129245889591691,0
CUST_19557,16.49,0.0612244897959183,0.1489197819189892,1277552990.0,2,1,78217530.0,1,1,0,0.3281853729812229,0
CUST_01332,17.99,0.0416666666666666,0.2925987455202633,625740240.0,2,1,26072510.0,0,1,0,0.4003624128675001,0
CUST_13338,8.9,0.0583333333333333,0.1857453448427708,1251480480.0,2,1,73003028.0,0,1,0,0.3279499694467778,0
CUST_16754,8.0,0.0454545454545454,0.2472495427952993,1147190440.0,2,1,52145020.0,0,1,0,0.3270092210249326,0
CUST_29643,10.99,0.0612244897959183,0.2827928529080698,1277552990.0,2,0,78217530.0,3,1,0,0.3281853729812226,0
CUST_31602,13.61,0.0454504135987637,0.2227938134572691,1147294730.04,2,0,52145020.0,3,1,0,0.3269902581075967,0
CUST_05701,14.91,0.036231884057971,0.3299180601203387,3598006380.0,2,1,130362550.0,3,1,0,0.0826003497553702,0
CUST_11830,10.99,0.0570249735840195,0.1972746408050382,1554521263.73,3,1,88646534.0,5,1,0,0.289045721400844,0
CUST_14516,14.35,0.0617283950617283,0.292627728341633,844749324.0,2,1,52145020.0,2,1,0,0.3841765571204039,0
CUST_30533,17.49,0.05859375,0.2802769377176058,3337281280.0,2,0,195543825.0,2,1,0,0.1290381988381568,0
CUST_29519,10.99,0.0615460364352535,0.1929795030546117,847252284.9599999,2,1,52145020.0,2,1,0,0.3836874131936204,0
CUST_18850,7.29,0.05,0.324018383748941,782175300.0,2,1,39108765.0,5,1,0,0.3830359364027011,0
CUST_18754,14.91,0.0416666666666666,0.3037129416923008,625740240.0,2,0,26072510.0,5,1,0,0.4003624128675,0
CUST_16629,7.66,0.0588235294117647,0.3352221842125886,886465340.0,3,1,52145020.0,5,1,0,0.3760554268716806,0
CUST_01409,15.57,0.0245098039215686,0.2953802689078219,1063758408.0,2,1,26072510.0,3,1,0,0.3173757918150055,0
CUST_02684,15.62,0.0652230628750326,0.346873518701096,1199231169.96,2,0,78217530.0,5,1,0,0.342608306867697,0
CUST_18771,10.99,0.0333333333333333,0.2884516919068967,782175300.0,2,1,26072510.0,5,1,0,0.3697693942909248,0
CUST_27537,14.96,0.0571691176470588,0.1982946068911214,3545861360.0,3,0,202713765.25,3,1,0,0.1139780434334566,0
CUST_01280,11.48,0.0396825396825396,0.1446958822123065,657027252.0,3,1,26072510.0,5,1,0,0.3941727835683158,0
CUST_18925,14.35,0.0267361111111111,0.1217567463085734,1877220720.0,2,0,50189581.75,4,1,0,0.2085986705991081,0
CUST_28431,12.53,0.039469529523208,0.339217042326346,990859670.04,2,1,39108765.0,2,1,0,0.3431917605283571,0
CUST_01623,17.19,0.0352941176470588,0.2173320905976675,1108081675.0,2,0,39108765.0,5,1,0,0.3217033689075938,0
CUST_27477,10.99,0.0384615384615384,0.2441225463891804,3389426300.0,3,1,130362550.0,3,1,0,0.0966342152562302,0
CUST_01622,14.61,0.0357142857142857,0.3231231302630167,1095045420.0,2,0,39108765.0,4,1,0,0.3240581927088676,0
CUST_21211,20.86,0.0631313131313131,0.2674672845117809,1032471396.0,3,0,65181274.99999999,4,1,0,0.3611364691424986,0
CUST_28247,14.22,0.045045045045045,0.1966641629143454,1157619444.0,3,0,52145020.0,4,1,0,0.325115735197592,0
CUST_14549,16.89,0.057471264367816,0.1385133445656023,907323348.0,2,0,52145020.0,3,1,0,0.3720205248423986,0
CUST_02916,16.02,0.0446780943303498,0.1468187653213294,1750690828.97,2,0,78217530.0,5,1,0,0.2483702331034727,0
CUST_30295,10.0,0.0409053722388873,0.1169817757796543,1147294730.04,3,1,46930518.0,5,1,0,0.322034190552536,0
CUST_09836,16.29,0.0508474576271186,0.1453408358213258,1538278090.0,3,0,78217530.0,0,1,0,0.2825551954722703,0
CUST_01529,11.49,0.0392684842365084,0.1026677383913243,929537126.52,2,1,36501514.0,3,1,0,0.352118230748322,0
CUST_16037,14.42,0.0215010607189954,0.2047388789673149,1818922587.64,2,0,39108765.0,4,1,0,0.2086187934805455,0
CUST_01384,14.96,0.032258064516129,0.108388758652924,808247810.0,2,0,26072510.0,0,1,0,0.3647635243707202,0
CUST_24610,7.51,0.058695652173913,0.3186615997972734,1799003190.0,3,1,105593665.5,2,1,0,0.2633673721221234,0
CUST_21419,10.99,0.0511695906432748,0.3032211860988366,2853375494.4,2,1,146006056.0,3,1,0,0.1512968607834093,0
CUST_28439,14.09,0.0504201680672268,0.2752549630348369,6205257380.0,3,0,312870120.0,3,1,0,0.0225244461725408,0
CUST_15009,10.99,0.037037037037037,0.301625039416416,2815831080.0,3,1,104290040.0,3,1,0,0.1330423021200162,0
CUST_23838,15.7,0.0333333333333333,0.1886976992404575,1564350600.0,3,0,52145020.0,5,1,0,0.2560859295265359,0
CUST_01385,19.03,0.03125,0.2226543569795444,834320320.0,2,1,26072510.0,5,1,0,0.3597867352144629,0
CUST_15474,12.73,0.0393713187816939,0.1694585804970177,3311104479.96,3,0,130362550.0,3,1,0,0.102432615195938,0
CUST_16563,11.14,0.0459558823529411,0.0969743289333092,1418344544.0,2,1,65181274.99999999,5,1,0,0.2912638042374636,0
CUST_26258,8.9,0.0568181818181818,0.2740860224553594,2294380880.0,3,1,130362550.0,1,1,0,0.2090869296620284,0
CUST_25818,12.18,0.0619318181818181,0.220146018146175,1147190440.0,2,1,71047589.75,1,1,0,0.345295580810021,0
CUST_10996,7.66,0.0453885257806826,0.2751661070245844,1436073850.8,3,1,65181274.99999999,5,1,0,0.2882492095871398,0
CUST_27233,12.53,0.0301724137931034,0.1358164103703661,3024411160.0,3,1,91253785.0,2,1,0,0.1087879386840519,0
CUST_22773,15.96,0.0576923076923076,0.3205826409782888,1355770520.0,3,0,78217530.0,1,1,0,0.3140980867197619,0
CUST_18817,16.29,0.0225030941754491,0.0868128743881949,1390342668.26,2,1,31287012.0,5,1,0,0.2663772933891143,0
CUST_01375,11.28,0.0344827586206896,0.2605817345671324,756102790.0,2,1,26072510.0,2,1,0,0.3748034291219623,0
CUST_04096,10.51,0.0338787817190093,0.3079820863093234,3078329110.68,2,1,104290040.0,3,1,0,0.1099544792053231,0
CUST_26977,10.99,0.0456018518518518,0.2487041127349592,2815831080.0,3,1,128407111.75,3,1,0,0.1455730316187829,0
CUST_02398,10.99,0.0510204081632653,0.2124163844507411,1277552990.0,2,1,65181274.99999999,3,1,0,0.315846036796353,0
CUST_15171,14.54,0.0625,0.2910892190545961,625740240.0,2,0,39108765.0,2,1,0,0.4140055336076017,0
CUST_26614,14.17,0.03125,0.1521215034571952,2502960960.0,3,0,78217530.0,4,1,0,0.1507322171671621,0
CUST_02395,14.59,0.051024573434566,0.2956559459867993,1277448699.96,2,1,65181274.99999999,3,1,0,0.3158646567537506,0
CUST_10624,11.14,0.0393651193550418,0.1678520824071903,1655812965.08,3,1,65181274.99999999,1,1,0,0.2524747325913186,0
CUST_03247,15.28,0.0514675607317216,0.3464871120791561,1773034970.04,2,0,91253785.0,3,1,0,0.2555437548619399,0
CUST_19707,16.32,0.0481884057971014,0.2096273956896581,1799003190.0,2,0,86691095.75,0,1,0,0.2477777615977393,0
CUST_11000,9.62,0.0524953387759535,0.3474522093574702,1440323669.93,3,1,75610279.0,5,1,0,0.2968810939477803,0
CUST_05665,16.02,0.060198655563359,0.1669553715006745,1039458828.68,3,0,62574023.99999999,3,1,0,0.3572056881468442,0
CUST_01924,18.3,0.037037037037037,0.2243761841411348,1407915540.0,2,0,52145020.0,5,1,0,0.2814740581736711,0
CUST_03255,11.83,0.0448717948717948,0.3174820311776026,2033655780.0,2,1,91253785.0,3,1,0,0.216769487590721,0
